artist,artist_type,artist_country,artist_tags
Seven Lions,Person,US,"electronic, dubstep, dance, electropop, progressive trance, progressive house, club, garage, electro house, edm, progressive dubstep, chillstep, melodic dubstep, melodic bass, future bass"
Shinedown,Group,US,"rock, metal, hard rock, post-grunge, alternative metal, pop rock"
Shiritsu Ebisu Chugaku,,,
Sidhu Moose Wala,Person,IN,hip hop
Skillet,Group,US,"alternative rock, nu metal, symphonic metal, christian rock, christian metal"
Smyang Piano,Person,CA,
Soda Stereo,Group,AR,"rock, alternative rock, shoegaze, post-punk, new wave, psychedelic rock, pop rock, latin rock, latin, argentina, español, rock en espanol, dinamo, pop/rock, big music"
Sorriso Maroto,Group,BR,
Stam1na,Group,FI,"heavy metal, technical thrash metal, progressive metal"
Stephen Sanchez,Person,US,"pop, jangle pop, folk pop"
Stevie Wonder,Person,US,"pop, funk, vegan, soul, film soundtrack, rock and indie, pop soul, grammy winner, contemporary r&b, rhythm & blues"
Sujatha,Person,IN,filmi
Swedish House Mafia,Group,SE,"electronic, dance, house, electropop, dance-pop, progressive house, electro house, edm, complextro, get dumb, festival progressive house"
